run_id,backend,imgsz,threads,sample_idx,latency_lay_khung_ms,latency_ms,latency_tong_ms,fps_instant,fps_tong_instant,n_faces,conf_top,cpu_temp_c
bench_detect_camera_20260908_1449,onnx,320,4,15,8.611499986727722,27.096800011349842,35.708299998077564,36.90472674194507,28.00469358815282,0,,
bench_detect_camera_20260908_1449,onnx,320,4,16,7.8436000039801,23.818600006052293,31.662200010032393,41.98399569017073,31.58340228042091,0,,
bench_detect_camera_20260908_1449,onnx,320,4,17,5.633200009469874,21.86569999321364,27.498900002683513,45.73372909672984,36.365090963726324,0,,
bench_detect_camera_20260908_1449,onnx,320,4,18,6.978799996431917,20.37900000868831,27.357800005120225,49.070121182278996,36.55264677031202,0,,
bench_detect_camera_20260908_1449,onnx,320,4,19,6.302099995082244,20.404000009875745,26.70610000495799,49.009998015878736,37.44462874827661,0,,
bench_detect_camera_20260908_1449,onnx,320,4,20,6.706399988615885,22.758300008717924,29.46469999733381,43.94001307729199,33.93891674072662,0,,
bench_detect_camera_20260908_1449,onnx,320,4,21,7.244799999170937,22.690300000249408,29.935099999420345,44.0716958342996,33.40560078367414,0,,
bench_detect_camera_20260908_1449,onnx,320,4,22,5.585099992458709,23.367500005406328,28.952599997865036,42.79447950224196,34.53921237034808,0,,
bench_detect_camera_20260908_1449,onnx,320,4,23,7.448000003932975,27.10289999959059,34.550900003523566,36.89642067878735,28.942806117872998,0,,
bench_detect_camera_20260908_1449,onnx,320,4,24,7.967800003825687,25.590199991711415,33.5579999955371,39.07745935256062,29.799153707997814,0,,
bench_detect_camera_20260908_1449,onnx,320,4,25,6.372799995006062,19.054400007007644,25.427200002013706,52.481316631971076,39.32796375223403,0,,
bench_detect_camera_20260908_1449,onnx,320,4,26,7.774099998641759,23.52960000280291,31.303700001444668,42.499659997657304,31.945105529181852,0,,
bench_detect_camera_20260908_1449,onnx,320,4,27,7.965999990119599,26.578800010611303,34.5448000007309,37.62397096937261,28.947916907286825,0,,
bench_detect_camera_20260908_1449,onnx,320,4,28,9.496500002569519,30.878599995048717,40.375099997618236,32.38488792109573,24.76774051479726,0,,
bench_detect_camera_20260908_1449,onnx,320,4,29,9.474300008150749,32.3900999937905,41.86440000194125,30.87363114629809,23.886643543288095,0,,
bench_detect_camera_20260908_1449,onnx,320,4,30,9.23789999797009,25.77019999444019,35.00809999241028,38.80451064468827,28.564817862631763,0,,
bench_detect_camera_20260908_1449,onnx,320,4,31,8.799199989880435,27.580000009038486,36.37919999891892,36.25815807368677,27.488235036221713,0,,
bench_detect_camera_20260908_1449,onnx,320,4,32,8.105900007649325,27.06229999603238,35.168200003681704,36.95177424485763,28.43477914409357,0,,
bench_detect_camera_20260908_1449,onnx,320,4,33,5.918800001381896,25.357399994391017,31.276199995772913,39.43621981043786,31.97319367874465,0,,
bench_detect_camera_20260908_1449,onnx,320,4,34,8.33769999735523,33.16089999862015,41.49859999597538,30.155996973592714,24.09719846204407,0,,
