run_id,backend,imgsz,threads,sample_idx,latency_ms,fps_instant,n_faces,conf_top,cpu_temp_c
bench_detect_20260905_1914,onnx,320,1,49,94.24977699927695,10.61010467969247,1,0.8420447111129761,47.95
bench_detect_20260905_1914,onnx,320,1,50,94.2222399989987,10.613205544790985,1,0.8569331169128418,47.4
bench_detect_20260905_1914,onnx,320,1,51,94.42629600016517,10.590270320443903,1,0.8843919038772583,48.5
bench_detect_20260905_1914,onnx,320,1,52,94.32783299962466,10.601324849728915,1,0.8464038968086243,47.95
bench_detect_20260905_1914,onnx,320,1,53,94.2353139998886,10.611733091919046,1,0.8297358155250549,49.05
bench_detect_20260905_1914,onnx,320,1,54,95.53431899985299,10.46744259517398,1,0.8656474351882935,47.4
bench_detect_20260905_1914,onnx,320,1,55,94.34213000167802,10.599718280499005,1,0.8580819964408875,47.95
bench_detect_20260905_1914,onnx,320,1,56,94.23514800073463,10.611751784930654,1,0.8371187448501587,49.05
bench_detect_20260905_1914,onnx,320,1,57,94.2868880010792,10.605928578198,1,0.8488032817840576,47.95
bench_detect_20260905_1914,onnx,320,1,58,95.20704100032162,10.5034248464525,3,0.8435391187667847,46.85
bench_detect_20260905_1914,onnx,320,1,59,94.36516599998868,10.59713072512499,1,0.8659917712211609,46.85
bench_detect_20260905_1914,onnx,320,1,60,94.24927699910768,10.61016096717079,2,0.8362561464309692,46.85
bench_detect_20260905_1914,onnx,320,1,61,94.23560999857727,10.611699759943162,1,0.8599085807800293,47.4
bench_detect_20260905_1914,onnx,320,1,62,94.32372100127395,10.601787009510511,1,0.8583499193191528,49.05
bench_detect_20260905_1914,onnx,320,1,63,94.39144499992835,10.594180436593158,3,0.8242826461791992,48.5
bench_detect_20260905_1914,onnx,320,1,64,94.43366699997569,10.589443699144475,1,0.8813580274581909,47.4
bench_detect_20260905_1914,onnx,320,1,65,94.40603699840722,10.59254293257614,1,0.8344623446464539,47.95
bench_detect_20260905_1914,onnx,320,1,66,94.289740000022,10.605607778744185,2,0.8658978343009949,48.5
bench_detect_20260905_1914,onnx,320,1,67,94.24733299965737,10.610379818425582,1,0.8395218849182129,48.5
bench_detect_20260905_1914,onnx,320,1,68,94.48281599907205,10.583935178327257,2,0.865976095199585,48.5
bench_detect_20260905_1914,onnx,320,1,69,95.28091100037273,10.495281683401286,1,0.8664168119430542,48.5
bench_detect_20260905_1914,onnx,320,1,70,94.29168499991647,10.605389011776445,1,0.8556602597236633,47.4
bench_detect_20260905_1914,onnx,320,1,71,94.23490699919057,10.611778924009439,1,0.8706232905387878,47.95
bench_detect_20260905_1914,onnx,320,1,72,94.23792499910633,10.61143907836981,1,0.8552777171134949,48.5
bench_detect_20260905_1914,onnx,320,1,73,94.370777000222,10.596500651866494,1,0.8395990133285522,46.85
bench_detect_20260905_1914,onnx,320,1,74,94.2285000000993,10.612500464285711,1,0.8509732484817505,47.4
bench_detect_20260905_1914,onnx,320,1,75,94.60603800107492,10.57014986705857,1,0.8412084579467773,49.05
bench_detect_20260905_1914,onnx,320,1,76,94.36351800104603,10.59731579728635,2,0.8553757667541504,47.95
bench_detect_20260905_1914,onnx,320,1,77,94.2587959998491,10.609089468972222,1,0.8588329553604126,49.05
bench_detect_20260905_1914,onnx,320,1,78,94.24927700092667,10.610160966966015,1,0.8597087860107422,47.95
bench_detect_20260905_1914,onnx,320,1,79,94.81900200080418,10.546409252351326,3,0.8422040343284607,48.5
bench_detect_20260905_1914,onnx,320,1,80,94.33711100064102,10.60028221548151,1,0.8683739900588989,48.5
bench_detect_20260905_1914,onnx,320,1,81,94.27325899923744,10.607461867931063,1,0.8617998361587524,49.05
bench_detect_20260905_1914,onnx,320,1,82,94.24125900113722,10.61106367422291,2,0.8524227142333984,48.5
bench_detect_20260905_1914,onnx,320,1,83,94.34463000070537,10.599437402982273,1,0.8346425294876099,48.5
bench_detect_20260905_1914,onnx,320,1,84,94.34136999880138,10.599803670571088,1,0.865837574005127,47.95
bench_detect_20260905_1914,onnx,320,1,85,94.45294400029525,10.587282488483092,1,0.8456010818481445,48.5
bench_detect_20260905_1914,onnx,320,1,86,94.35320299962768,10.598474330584686,1,0.8597445487976074,47.95
bench_detect_20260905_1914,onnx,320,1,87,94.22420299961232,10.612984436749382,1,0.8807274103164673,48.5
bench_detect_20260905_1914,onnx,320,1,88,94.2310919999727,10.612208547899346,1,0.8535925149917603,48.5
bench_detect_20260905_1914,onnx,320,1,89,94.23261099982483,10.612037482457733,1,0.8226958513259888,48.5
bench_detect_20260905_1914,onnx,320,1,90,94.78220600067289,10.550503540642437,1,0.835182785987854,48.5
bench_detect_20260905_1914,onnx,320,1,91,94.58535200064944,10.572461579390579,5,0.8622593879699707,49.05
bench_detect_20260905_1914,onnx,320,1,92,94.29486999943038,10.605030793361728,1,0.8443489074707031,48.5
bench_detect_20260905_1914,onnx,320,1,93,94.25937000014528,10.609024864036952,1,0.8922709226608276,48.5
bench_detect_20260905_1914,onnx,320,1,94,94.340222000028,10.5999326565047,1,0.8305662870407104,49.05
bench_detect_20260905_1914,onnx,320,1,95,94.23388899995189,10.611893561991383,1,0.8475969433784485,48.5
bench_detect_20260905_1914,onnx,320,1,96,94.6580569998332,10.564341078771161,1,0.8309303522109985,48.5
bench_detect_20260905_1914,onnx,320,1,97,94.38122299980023,10.595327843994102,1,0.8784868717193604,49.05
bench_detect_20260905_1914,onnx,320,1,98,94.19609199903789,10.616151676549531,1,0.8540760278701782,48.5
bench_detect_20260905_1914,onnx,320,1,99,94.20475800106942,10.615175084772766,1,0.8631399869918823,47.4
bench_detect_20260905_1914,onnx,320,2,0,52.76150400095503,18.953212554022326,3,0.867016077041626,50.15
bench_detect_20260905_1914,onnx,320,2,1,53.14087499937159,18.817906178846798,1,0.8328506946563721,49.6
bench_detect_20260905_1914,onnx,320,2,2,53.06822700003977,18.84366704015287,2,0.8697801232337952,50.15
bench_detect_20260905_1914,onnx,320,2,3,52.84611499882885,18.922866894229813,1,0.882756769657135,49.05
bench_detect_20260905_1914,onnx,320,2,4,52.66035400018154,18.989617882108284,1,0.8138210773468018,50.15
bench_detect_20260905_1914,onnx,320,2,5,52.63402200034761,18.999118098810605,1,0.8523719310760498,49.6
bench_detect_20260905_1914,onnx,320,2,6,52.71292900033586,18.970677952530934,1,0.8551887273788452,50.15
bench_detect_20260905_1914,onnx,320,2,7,52.64900300062436,18.993711998461606,2,0.8453741669654846,49.6
bench_detect_20260905_1914,onnx,320,2,8,52.542891000484815,19.03207038970834,1,0.8628569841384888,49.6
bench_detect_20260905_1914,onnx,320,2,9,52.73376299919619,18.96318303731222,1,0.8440910577774048,49.6
bench_detect_20260905_1914,onnx,320,2,10,54.26043500119704,18.429634778599528,1,0.8319575786590576,50.15
bench_detect_20260905_1914,onnx,320,2,11,52.79237399918202,18.94212978593261,2,0.8591510057449341,49.6
bench_detect_20260905_1914,onnx,320,2,12,52.70531799942546,18.973417445482465,1,0.8425633311271667,50.15
bench_detect_20260905_1914,onnx,320,2,13,52.738207999937,18.961584739496544,2,0.8373708128929138,49.05
bench_detect_20260905_1914,onnx,320,2,14,52.70315099915024,18.974197577221208,1,0.8705060482025146,50.7
bench_detect_20260905_1914,onnx,320,2,15,52.660650999314385,18.989510783165585,1,0.8714586496353149,49.6
bench_detect_20260905_1914,onnx,320,2,16,52.638207000200055,18.997607574213145,2,0.8616287708282471,50.15
bench_detect_20260905_1914,onnx,320,2,17,52.861948001009296,18.91719919176847,3,0.8603709936141968,49.6
bench_detect_20260905_1914,onnx,320,2,18,52.76959600087139,18.95030615704329,2,0.8776814937591553,49.05
bench_detect_20260905_1914,onnx,320,2,19,52.640207000877126,18.99688578320631,1,0.8844536542892456,50.15
bench_detect_20260905_1914,onnx,320,2,20,53.08068999875104,18.83924267042364,2,0.8719527721405029,50.7
bench_detect_20260905_1914,onnx,320,2,21,52.83720700026606,18.926057162615816,2,0.8753690123558044,50.15
bench_detect_20260905_1914,onnx,320,2,22,52.786799999012146,18.94412997224143,1,0.848172664642334,50.7
bench_detect_20260905_1914,onnx,320,2,23,52.6708180004789,18.9858452547843,1,0.8727248907089233,50.15
